,Oligo_Identity,New_title,Kd_mean,Kd_sdev
0,1,Motif + GT/AC repeat 1,597.2512859984303,98.71445521549052
1,2,Motif + short GT/AC repeat 3,713.8645973762065,93.26935907929618
2,3,Mutated motif + random 1,10654.25000799876,1825.0685360732
3,4,No motif + random 4,11265.816337116954,2393.39942141098
4,5,Motif + AT/CG repeat 1,357.039283666393,57.72472272593348
5,6,Motif + short CG/AT repeat 1,2126.202193606107,310.89329650945405
6,7,Mutated motif + random 2,12042.609544845816,2164.40743415941
7,8,No motif + random 5,13495.771315121568,3440.7023204800967
8,9,Motif + GT/AC repeat 2,746.6005897346679,119.44047888518938
9,10,Motif + short A/T repeat 1,1209.2892465801017,180.697782718396
10,11,Mutated motif + random 3,11621.86333371948,1809.211971851425
12,13,Motif + GT/AC repeat 3,1091.8524627598183,151.19529178760732
13,14,Mutated motif + GT/AC repeat 1,8314.414978556948,1458.6960399547766
14,15,Motif + random 1,2196.205736949336,313.52235727095604
15,16,Motif + AC/GT repeat 1,1258.668099051633,201.87934471333304
16,17,Motif + CG/AT repeat 1,388.6160072661948,58.61172435033582
17,18,Mutated motif + AT/CG repeat 1,9429.9557334376,942.305842178728
18,19,Motif + random 2,1097.8396646472029,121.1078197114022
19,20,Motif + AC/GT repeat 2,945.9778142395623,144.10420547144716
21,22,Mutated motif + CG/AT repeat 1,8799.445531203264,1244.0309498258264
22,23,Motif + random 3,1532.784984059322,236.70278439808945
23,24,Motif + AC/GT repeat 3,1129.7581103883756,171.35013976401524
25,26,Mutated motif + CG/AT repeat 2,8127.746845186166,791.7445017705957
26,27,No motif + AT/CG repeat 3,4316.471486407337,574.9126816555475
27,28,Motif + AC/GT repeat 4,1376.47197957278,171.31510177673252
28,29,Motif + short GT/AC repeat 2,880.5691210756934,131.30192484823775
30,31,No motif + AC/GT repeat 6,7477.907648491292,734.8046502724591
31,32,Motif + AC/GT repeat 5,1049.5175010218525,124.09593008168537
